Map width/height, Number of map cells (i.e. width * height), Number of samples, Total time taken (in s), Time taken per sample (i.e. total time taken / number of samples; in s), Time taken per sample (in ms)
1, 1, 300, 16.550, .05516, 55.16000
2, 4, 300, 16.000, .05333, 53.33000
3, 9, 300, 15.766, .05255, 52.55000
4, 16, 300, 16.048, .05349, 53.49000
5, 25, 300, 17.629, .05876, 58.76000
6, 36, 300, 16.794, .05598, 55.98000
7, 49, 300, 16.915, .05638, 56.38000
8, 64, 300, 18.158, .06052, 60.52000
9, 81, 300, 17.036, .05678, 56.78000
10, 100, 300, 17.649, .05883, 58.83000
11, 121, 300, 17.836, .05945, 59.45000
12, 144, 300, 18.184, .06061, 60.61000
13, 169, 300, 18.828, .06276, 62.76000
14, 196, 300, 19.560, .06520, 65.20000
15, 225, 300, 20.760, .06920, 69.20000
16, 256, 300, 21.541, .07180, 71.80000
17, 289, 300, 20.829, .06943, 69.43000
18, 324, 300, 20.841, .06947, 69.47000
19, 361, 300, 21.985, .07328, 73.28000
20, 400, 300, 23.444, .07814, 78.14000
21, 441, 300, 25.594, .08531, 85.31000
22, 484, 300, 23.104, .07701, 77.01000
23, 529, 300, 25.297, .08432, 84.32000
24, 576, 300, 25.887, .08629, 86.29000
25, 625, 300, 26.633, .08877, 88.77000
26, 676, 300, 28.756, .09585, 95.85000
27, 729, 300, 28.228, .09409, 94.09000
28, 784, 300, 29.230, .09743, 97.43000
29, 841, 300, 30.358, .10119, 101.19000
30, 900, 300, 29.974, .09991, 99.91000
31, 961, 300, 32.149, .10716, 107.16000
32, 1024, 300, 33.903, .11301, 113.01000
33, 1089, 300, 36.106, .12035, 120.35000
34, 1156, 300, 36.364, .12121, 121.21000
35, 1225, 300, 39.888, .13296, 132.96000
36, 1296, 300, 39.615, .13205, 132.05000
37, 1369, 300, 39.465, .13155, 131.55000
38, 1444, 300, 42.276, .14092, 140.92000
39, 1521, 300, 47.238, .15746, 157.46000
40, 1600, 300, 46.194, .15398, 153.98000
41, 1681, 300, 47.055, .15685, 156.85000
42, 1764, 300, 48.241, .16080, 160.80000
43, 1849, 300, 48.566, .16188, 161.88000
44, 1936, 300, 52.443, .17481, 174.81000
45, 2025, 300, 54.701, .18233, 182.33000
46, 2116, 300, 57.555, .19185, 191.85000
47, 2209, 300, 54.910, .18303, 183.03000
48, 2304, 300, 57.524, .19174, 191.74000
49, 2401, 300, 58.434, .19478, 194.78000
50, 2500, 300, 64.735, .21578, 215.78000
51, 2601, 300, 66.060, .22020, 220.20000
52, 2704, 300, 67.997, .22665, 226.65000
53, 2809, 300, 69.601, .23200, 232.00000
54, 2916, 300, 72.243, .24081, 240.81000
55, 3025, 300, 74.163, .24721, 247.21000
56, 3136, 300, 76.463, .25487, 254.87000
57, 3249, 300, 88.012, .29337, 293.37000
58, 3364, 300, 83.578, .27859, 278.59000
59, 3481, 300, 81.306, .27102, 271.02000
60, 3600, 300, 89.875, .29958, 299.58000
61, 3721, 300, 88.755, .29585, 295.85000
62, 3844, 300, 91.520, .30506, 305.06000
63, 3969, 300, 95.520, .31840, 318.40000
64, 4096, 300, 99.575, .33191, 331.91000
65, 4225, 300, 109.486, .36495, 364.95000
66, 4356, 300, 107.540, .35846, 358.46000
67, 4489, 300, 105.524, .35174, 351.74000
68, 4624, 300, 111.074, .37024, 370.24000
69, 4761, 300, 117.561, .39187, 391.87000
70, 4900, 300, 117.138, .39046, 390.46000
71, 5041, 300, 124.368, .41456, 414.56000
72, 5184, 300, 118.720, .39573, 395.73000
73, 5329, 300, 129.106, .43035, 430.35000
74, 5476, 300, 134.140, .44713, 447.13000
75, 5625, 300, 137.211, .45737, 457.37000
76, 5776, 300, 138.215, .46071, 460.71000
77, 5929, 300, 146.300, .48766, 487.66000
78, 6084, 300, 148.337, .49445, 494.45000
79, 6241, 300, 148.910, .49636, 496.36000
80, 6400, 300, 157.228, .52409, 524.09000
81, 6561, 300, 155.883, .51961, 519.61000
82, 6724, 300, 172.252, .57417, 574.17000
83, 6889, 300, 170.909, .56969, 569.69000
84, 7056, 300, 165.117, .55039, 550.39000
85, 7225, 300, 179.016, .59672, 596.72000
86, 7396, 300, 183.453, .61151, 611.51000
87, 7569, 300, 182.474, .60824, 608.24000
88, 7744, 300, 195.221, .65073, 650.73000
89, 7921, 300, 196.266, .65422, 654.22000
90, 8100, 300, 211.062, .70354, 703.54000
91, 8281, 300, 210.235, .70078, 700.78000
92, 8464, 300, 217.187, .72395, 723.95000
93, 8649, 300, 257.824, .85941, 859.41000
94, 8836, 300, 226.549, .75516, 755.16000
95, 9025, 300, 250.528, .83509, 835.09000
96, 9216, 300, 243.644, .81214, 812.14000
97, 9409, 300, 261.554, .87184, 871.84000
98, 9604, 300, 258.333, .86111, 861.11000
99, 9801, 300, 259.166, .86388, 863.88000
100, 10000, 300, 257.199, .85733, 857.33000
101, 10201, 300, 272.110, .90703, 907.03000
102, 10404, 300, 264.401, .88133, 881.33000
103, 10609, 300, 284.471, .94823, 948.23000
104, 10816, 300, 324.744, 1.08248, 1082.48000
105, 11025, 300, 307.564, 1.02521, 1025.21000
106, 11236, 300, 329.678, 1.09892, 1098.92000
107, 11449, 300, 333.615, 1.11205, 1112.05000
108, 11664, 300, 325.850, 1.08616, 1086.16000
109, 11881, 300, 350.799, 1.16933, 1169.33000
110, 12100, 300, 351.068, 1.17022, 1170.22000
111, 12321, 300, 361.229, 1.20409, 1204.09000
112, 12544, 300, 351.005, 1.17001, 1170.01000
113, 12769, 300, 376.493, 1.25497, 1254.97000
114, 12996, 300, 384.380, 1.28126, 1281.26000
115, 13225, 300, 378.335, 1.26111, 1261.11000
116, 13456, 300, 408.937, 1.36312, 1363.12000
117, 13689, 300, 438.328, 1.46109, 1461.09000
118, 13924, 300, 449.998, 1.49999, 1499.99000
119, 14161, 300, 482.925, 1.60975, 1609.75000
120, 14400, 300, 483.160, 1.61053, 1610.53000
121, 14641, 300, 501.451, 1.67150, 1671.50000
122, 14884, 300, 527.931, 1.75977, 1759.77000
123, 15129, 300, 526.269, 1.75423, 1754.23000
124, 15376, 300, 515.158, 1.71719, 1717.19000
125, 15625, 300, 531.685, 1.77228, 1772.28000
126, 15876, 300, 528.007, 1.76002, 1760.02000
127, 16129, 300, 539.895, 1.79965, 1799.65000
128, 16384, 300, 576.972, 1.92324, 1923.24000
129, 16641, 300, 582.539, 1.94179, 1941.79000
130, 16900, 300, 566.150, 1.88716, 1887.16000
131, 17161, 300, 611.296, 2.03765, 2037.65000
132, 17424, 300, 621.721, 2.07240, 2072.40000
133, 17689, 300, 577.990, 1.92663, 1926.63000
134, 17956, 300, 576.058, 1.92019, 1920.19000
135, 18225, 300, 588.982, 1.96327, 1963.27000
136, 18496, 300, 629.203, 2.09734, 2097.34000
137, 18769, 300, 656.516, 2.18838, 2188.38000
138, 19044, 300, 644.684, 2.14894, 2148.94000
139, 19321, 300, 656.302, 2.18767, 2187.67000
140, 19600, 300, 694.628, 2.31542, 2315.42000
141, 19881, 300, 647.116, 2.15705, 2157.05000
142, 20164, 300, 732.315, 2.44105, 2441.05000
